Dashboard_API_Name__c,RecordTypeId,Record_Type_Id__c,Role_Name__c
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Manager A1 - CN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ER Rep - CN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Manager A2 - CN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CN Lead Enterprise
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ER Manager - CN
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,UK Lead Enterprise
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,GA ER Team 1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,BDR Team 4
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,NA Lead 2
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ES Manager3 - NA
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,BT Inside Sales Manager
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Manager5 - NA
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Manager6 - NA
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,NA Lead 1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ES Manager1 - NA
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Manager2 - NA
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,NA Core Leader
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - NA - LE - A2
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ES Rep - CA
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ES Manager2 - NA
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,DE Lead MM
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ES Manager3 - AU
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,BR Lead MM
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Inside Sales BZ Manager
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Rep - BR
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ER Manager - BR
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Rep3 - AU
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Rep2 - AU
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Manager2 - AU
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Rep1 - AU
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ES Rep3 - AU
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ES Manager1 - AU
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,ES Rep2 - AU
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,AE Manager1 - AU
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Core - AU
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Partner AE - Intl Team Mgr
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - CBT - HKT Team 1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Growth - JP
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - CBT - HKT Team 1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Growth - C2 MS 2
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - GA Team 1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Growth - C2 MS 2
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Growth - C2 MS 1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Growth - C2 MS 2
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Growth - C2 MS 1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CSM
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - GA Team 1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Growth - C2 MP
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - CBT - HKT Team 2
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - CBT - SEA
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Core - AU - A B1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - Growth - JP
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - CBT - HKT Team 2
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CSM
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,CS Manager - CBT - HKT Team 1
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - CBT - SEA
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Growth - JP
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - CBT - HKT
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - CBT - HKT Team 2
Datahub_Secure,0122E000000YNI6QAO,0122E000000YNI6QAO,Head of CS - Growth - C2 MP
